Id,ActivityMinute,value,logId,Date
7007744171,2016-03-14 15:23:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:24:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:25:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:26:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:27:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:28:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:29:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:30:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:31:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:32:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:33:30,1,11125339727,2016-03-14
7007744171,2016-03-14 15:34:30,1,11125339727,2016-03-14
7086361926,2016-03-14 00:00:00,2,11122241448,2016-03-14
7086361926,2016-03-14 00:01:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:02:00,2,11122241448,2016-03-14
7086361926,2016-03-14 00:03:00,2,11122241448,2016-03-14
7086361926,2016-03-14 00:04:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:05:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:06:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:07:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:08:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:09:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:10:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:11:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:12:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:13:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:14:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:15:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:16:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:17:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:18:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:19:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:20:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:21:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:22:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:23:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:24:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:25:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:26:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:27:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:28:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:29:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:30:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:31:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:32:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:33:00,2,11122241448,2016-03-14
7086361926,2016-03-14 00:34:00,2,11122241448,2016-03-14
7086361926,2016-03-14 00:35:00,2,11122241448,2016-03-14
7086361926,2016-03-14 00:36:00,3,11122241448,2016-03-14
7086361926,2016-03-14 00:37:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:38:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:39:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:40:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:41:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:42:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:43:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:44:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:45:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:46:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:47:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:48:00,2,11122241448,2016-03-14
7086361926,2016-03-14 00:49:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:50:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:51:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:52:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:53:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:54:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:55:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:56:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:57:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:58:00,1,11122241448,2016-03-14
7086361926,2016-03-14 00:59:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:00:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:01:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:02:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:03:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:04:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:05:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:06:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:07:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:08:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:09:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:10:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:11:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:12:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:13:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:14:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:15:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:16:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:17:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:18:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:19:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:20:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:21:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:22:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:23:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:24:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:25:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:26:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:27:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:28:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:29:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:30:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:31:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:32:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:33:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:34:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:35:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:36:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:37:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:38:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:39:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:40:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:41:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:42:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:43:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:44:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:45:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:46:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:47:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:48:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:49:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:50:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:51:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:52:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:53:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:54:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:55:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:56:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:57:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:58:00,1,11122241448,2016-03-14
7086361926,2016-03-14 01:59:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:00:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:01:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:02:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:03:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:04:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:05:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:06:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:07:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:08:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:09:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:10:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:11:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:12:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:13:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:14:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:15:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:16:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:17:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:18:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:19:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:20:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:21:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:22:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:23:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:24:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:25:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:26:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:27:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:28:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:29:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:30:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:31:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:32:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:33:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:34:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:35:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:36:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:37:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:38:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:39:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:40:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:41:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:42:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:43:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:44:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:45:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:46:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:47:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:48:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:49:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:50:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:51:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:52:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:53:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:54:00,2,11122241448,2016-03-14
7086361926,2016-03-14 02:55:00,2,11122241448,2016-03-14
7086361926,2016-03-14 02:56:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:57:00,2,11122241448,2016-03-14
7086361926,2016-03-14 02:58:00,1,11122241448,2016-03-14
7086361926,2016-03-14 02:59:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:00:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:01:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:02:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:03:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:04:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:05:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:06:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:07:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:08:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:09:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:10:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:11:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:12:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:13:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:14:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:15:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:16:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:17:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:18:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:19:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:20:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:21:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:22:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:23:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:24:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:25:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:26:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:27:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:28:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:29:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:30:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:31:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:32:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:33:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:34:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:35:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:36:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:37:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:38:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:39:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:40:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:41:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:42:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:43:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:44:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:45:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:46:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:47:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:48:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:49:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:50:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:51:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:52:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:53:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:54:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:55:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:56:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:57:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:58:00,1,11122241448,2016-03-14
7086361926,2016-03-14 03:59:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:00:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:01:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:02:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:03:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:04:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:05:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:06:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:07:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:08:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:09:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:10:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:11:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:12:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:13:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:14:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:15:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:16:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:17:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:18:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:19:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:20:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:21:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:22:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:23:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:24:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:25:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:26:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:27:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:28:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:29:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:30:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:31:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:32:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:33:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:34:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:35:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:36:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:37:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:38:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:39:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:40:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:41:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:42:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:43:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:44:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:45:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:46:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:47:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:48:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:49:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:50:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:51:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:52:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:53:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:54:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:55:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:56:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:57:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:58:00,1,11122241448,2016-03-14
7086361926,2016-03-14 04:59:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:00:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:01:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:02:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:03:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:04:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:05:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:06:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:07:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:08:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:09:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:10:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:11:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:12:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:13:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:14:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:15:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:16:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:17:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:18:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:19:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:20:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:21:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:22:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:23:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:24:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:25:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:26:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:27:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:28:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:29:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:30:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:31:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:32:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:33:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:34:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:35:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:36:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:37:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:38:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:39:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:40:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:41:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:42:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:43:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:44:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:45:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:46:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:47:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:48:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:49:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:50:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:51:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:52:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:53:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:54:00,1,11122241448,2016-03-14
7086361926,2016-03-14 05:55:00,1,11122241448,2016-03-14
